,"30% Minimum System Storage (GL), 40% Total Cost ($ million), 30% Total Spill Volume (GL) Distance","60% Minimum System Storage (GL), 30% Total Cost ($ million), 10% Total Spill Volume (GL) Distance","20% Minimum System Storage (GL), 50% Total Cost ($ million), 30% Total Spill Volume (GL) Distance","33% Minimum System Storage (GL), 33% Total Cost ($ million), 33% Total Spill Volume (GL) Distance"
294,1.119518173260024,0.6952506974466026,1.2208637739211636,1.0870432248348925
295,1.1059449594080162,0.6995571654067123,1.2146096643086681,1.064069799638038
296,1.125250767594287,0.705981154162529,1.2356507773759724,1.0835045214847834
297,0.382135365704683,0.3878832092934333,0.39379326287703115,0.3681376517404168
298,1.049156322334146,0.691453900966812,1.1687150138462141,0.9900047479397006
299,1.1315807806627416,0.6990714560912392,1.2347131998071146,1.0985819179266323
300,0.43940260125619224,0.44400866964171715,0.4614987292749465,0.4156760156020348
301,0.5519976239955556,0.6117667156767665,0.5612680045253652,0.5263030970184804
302,0.882438981518138,0.5765932195172642,0.9598759407195516,0.8568148340050004
303,0.715095625313523,0.9262570767882806,0.6555995111136337,0.7109880559746251
304,0.5373047419067785,0.6400529559438016,0.5253268930185557,0.5215314572888428
305,0.2977545026811781,0.34677807031605856,0.2483593769917906,0.32719410596132187
306,0.4216152935609589,0.6621773485384883,0.32066926526181055,0.4530531334863861
307,0.4274780789934184,0.6004347280756045,0.36957517982230637,0.4382201584739702
308,0.4268661843784892,0.6729446428760419,0.3218579328948553,0.4602136586266948
309,0.7414401373853525,0.7759394137494677,0.7807967372065263,0.6892358577955486
310,0.696420304798781,1.0237338247234211,0.5642332987992819,0.7251713905346824
311,0.9922643302269211,0.6391658770940102,1.0817936197678844,0.9614226299777668
312,0.2819777268200919,0.35808733151204636,0.2327092731831043,0.306771475213947
313,0.3028575724251163,0.3348783701364611,0.25792427962432063,0.3316601681999817
314,0.301738246944517,0.3385561939072472,0.2712963618378348,0.31817793531388566
315,0.49355849210328945,0.6381041176878763,0.45471378581365496,0.49287758399570303
316,0.700151818630729,1.0012386325748237,0.5887303591493221,0.7184418999948764
317,1.0787845458339824,0.6820226733528596,1.1743545985220767,1.0478620407665449
318,1.1664570328904802,0.7171413841577127,1.2729059877455242,1.1324046277965483
319,0.7545592926229635,0.9205989134380546,0.728667652008923,0.7309524204947526
