"","X.TwoWayPipelines.NPI2.NPI2Threshold","X.TwoWayPipelines.NPI2.NPI2FlowThreshold","X.TwoWayPipelines.NPI.NPIThreshold","X.TwoWayPipelines.NPI.NPIFlowThreshold","X.TwoWayPipelines.BrisbanetoNthPineInterconnector.BrisbanetoNthPineThreshold","X.TwoWayPipelines.BrisbanetoNthPineInterconnector.BrisbanetoNthPineFlowThreshold","X.TwoWayPipelines.MaroochytoBaroonInterconnector.MaroochytoBaroonThreshold","X.TwoWayPipelines.EwenMaddocktoBaroonInterconnector.EwenMaddocktoBaroonThreshold","X.TwoWayPipelines.EPI.EPIThreshold","X.TwoWayPipelines.EPI.EPIFlowThreshold","X.TwoWayPipelines.SPI.SPIThreshold","X.TwoWayPipelines.SPI.SPIFlowThreshold","X.WCRWS.PRWThreshold","X.TugunDesalination.TugunDesalOneThirdThreshold","X.TugunDesalination.TugunDesalTwoThirdsThreshold","X.TugunDesalination.TugunDesalFullThreshold","X.SpillVolumes.TotalSpillVolume","X.MinimumSystemStorageNegation","X.Costs.TotalCost","X.Costs.SwitchingCost","X.Costs.PumpingCost","X.Costs.TugunDesalCost","X.Costs.TreatmentCost","X.Costs.PRWCost","X.TugunDesalination.TugunDesalProductionTotal","X.WCRWS.PRWInflow","X.TwoWayPipelines.TwoWayPipelineFlows","X.SwitchCounts.TotalSwitchCount","X.SwitchCounts.BrisbanetoNthPineSwitchCount","X.SwitchCounts.EPISwitchCount","X.SwitchCounts.EwentoBaroonSwitchCount","X.SwitchCounts.MaroochytoBaroonSwitchCount","X.SwitchCounts.NPI2SwitchCount","X.SwitchCounts.NPISwitchCount","X.SwitchCounts.SPISwitchCount","X.EnvironmentalFlows.EnvFlowDeficit","X.Reliability.TotalVolumetricReliability"
"234",0.9459987877,0.9983618602,0.9989293229,0.999998561,0.6859641618,0.0061467568,0.9298966811,0.9594822018,0.5090693928,0.8319253523,0.4248379829,0.0180084524,0.9884392525,0.6560059243,0.4350512377,0.0468790061,448607.282421039,403796.500608834,5402866609.07005,120000,24964101.469493,214662840.453594,4511082238.027,652037429.11997,301260.960000009,232,189.897,3,0,0,1,1,1,0,0,36324.5902095854,0.9032348789
"235",0.9841142861,0.7122327276,0.9990987228,0.9963376068,0.1048379235,0.0002862219,0.8735906349,0.9956418064,0.0068412625,0.7912664052,0.4755865449,0.0003406351,0.5365471157,0.0211218323,0.0292512669,0.2176735596,358181.145199456,369896.269540947,5250981485.722,120000,24919225.8010545,51592083.891603,4522312746.90937,652037429.11997,85010.9400000064,232,189.897,3,0,0,1,1,1,0,0,36369.0126436965,0.9033094125
"237",0.9678409037,0.8554004685,0.998445159,0.9867371773,0.3446625518,0.0143681101,0.9164085658,0.8429926922,0.5565958377,0.9970237072,0.2311914085,0.0343605091,0.600313987,0.5763441435,0.4107633952,0.876402119,505498.044188879,438387.152856583,5525665211.14068,200000,30141944.6132348,338189479.320011,4505096358.08746,652037429.11997,485716,232,189.897,5,0,0,3,1,1,0,0,36307.0508767851,0.916888393
"239",0.9010221868,0.8372575349,0.9472897023,0.999743467,0.1847879088,0.0519787612,0.7492633945,0.7318696765,0.0704206602,0.9184542332,0.825543771,0.0028330425,0.8133702,0.8495376065,0.3429796903,0.0114756926,405984.387114593,395239.011014793,5391542249.03542,280000,26410396.0919359,197232576.525595,4515581847.29792,652037429.11997,275453.640000005,232,349.897,7,0,0,3,3,1,0,0,36426.3433427792,0.9312326873
"240",0.834337944,0.7560832415,0.9790983967,0.9971049311,0.1595450218,0.0506518999,0.8832099946,0.9954733729,0.0866974449,0.8072384401,0.5351165379,0.0040707001,0.8794481462,0.0851651186,0.5718250862,0.3032141794,470669.736320645,420275.087153265,5478999297.66045,200000,26386789.7852249,291857106.794395,4508517971.96087,652037429.11997,417085.340000008,232,349.897,5,0,0,1,1,3,0,0,36408.1171388667,0.9311791379
"241",0.8897109513,0.9439120305,0.9708792454,0.9995958232,0.9897749823,0.0130717686,0.8910719466,0.9505528445,0.0313688339,0.7967111595,0.7709531905,0.0475556149,0.8843060184,0.0156926417,0.1893100595,0.7175495627,486545.164495677,439559.789758244,5529453457.68256,120000,32593986.8962085,338189479.320011,4506512562.34638,652037429.11997,485716,232,189.897,3,0,0,1,1,1,0,0,36317.7217481514,0.9219740669
"243",0.7278190079,0.7870043093,0.9686566845,0.9974818714,0.0480492726,0.0079932072,0.6861056246,0.9698060161,0.1704514807,0.468566868,0.8357559072,0.0271710601,0.8085840257,0.1551573096,0.0024629355,0.5693420289,522908.33158974,437560.420276707,5514058084.16255,280000,27057578.9917226,330992249.170809,4503690826.88005,652037429.11997,475653.22,232,189.897,7,0,0,1,3,3,0,0,36364.7918021207,0.908298467
"244",0.9822312696,0.7870043093,0.9725341657,0.9926636419,0.0399003262,0.0085132569,0.6861056246,0.9560715195,0.1964648238,0.4703669091,0.6830777491,0.0294195137,0.7592682609,0.1145824116,0.0024629355,0.5493332331,507498.758201636,432372.074614257,5505710476.33592,200000,28302592.8850682,319919587.402805,4505250866.92808,652037429.11997,460172.02,232,189.897,5,0,0,1,3,1,0,0,36346.6146050248,0.9120881198
"245",0.857653901,0.7497034248,0.903923207,0.9988184905,0.0339870894,0.0506788373,0.9760837718,0.9960001861,0.0561727553,0.4946396465,0.5749971446,0.0040707001,0.8794481462,0.1213355361,0.5718250862,0.3724251368,483214.077523587,427597.605121534,5494759963.82749,120000,26398006.8858924,309040752.972001,4507163774.84963,652037429.11997,442770.300000003,232,349.897,3,0,0,1,1,1,0,0,36467.1083185562,0.931264411
"246",0.8935816676,0.2001022306,0.9086698613,0.9988548588,0.133874337,0.6530371488,0.7799677928,0.8258926263,0.8590053127,0.6801528637,0.2460353561,0.467271308,0.8705734912,0.2129858577,0.1842088603,0.0198576009,306132.471317793,201988.894344302,5342166465.50525,840000,51521631.2703972,120819466.958405,4516947938.15647,652037429.11997,174498.659999999,232,349.897,21,0,16,1,3,1,0,0,36383.1529101006,0.9374655249
"247",0.756566748,0.8709571122,0.9744730556,0.0027007345,0.2611356933,0.0014472734,0.8973170459,0.9485509458,0.2414839669,0.0018149664,0.3599353059,0.0046344862,0.0205935696,0.0065397218,5.18871227062068e-06,0.1796382693,340878.753116071,342735.8138149,5192510362.55934,200000,18495948.914992,22249530.2063981,4499527454.31798,652037429.11997,43985.7599999955,0,118.172,5,0,0,1,1,3,0,0,38724.0083524669,0.8270455174
"248",0.8372271084,0.8961999311,0.9708190602,0.995042851,0.0215214511,0.0030369091,0.6787513408,0.8156451207,0.0117486898,0.9856834241,0.1253357861,0.0392522325,0.8918707252,0.8822587396,0.1879495945,0.0024488905,362967.651449478,381354.36689987,5326948842.63454,280000,31171507.755132,121167853.329592,4522292052.42985,652037429.11997,162831.900000009,232,189.897,7,0,0,3,3,1,0,0,36387.2555163668,0.9188615545
"250",0.9752724398,0.7751990626,0.8669874837,0.9988466719,0.1951744166,0.0013273961,0.9830602275,0.6373404507,0.0906958564,0.9162676692,0.8937191171,0.0093941061,0.85284438,0.9585183178,0.0078794341,0.2264515143,407686.578739381,390908.23455856,5349613590.29568,280000,26954990.1150854,154547717.242792,4515793453.81784,652037429.11997,212504.740000018,232,213.897,7,0,0,4,1,1,1,0,36715.4468658637,0.9113614583
"251",0.8936116947,0.9904481161,0.9363541028,0.9999501122,0.1966684939,0.0096013312,0.9829041118,0.3700528398,0.1928820671,0.6690036071,0.9980920686,0.0460867513,0.8873823332,0.8009753545,0.0869354591,0.2292478989,374723.823700785,390076.593737223,5359222407.02401,200000,32280273.2704025,155146679.284792,4519558025.34884,652037429.11997,213395.840000019,232,189.897,5,0,0,3,1,1,0,0,36390.7152524238,0.919858259
"253",0.9986997791,0.2064417619,0.8823110465,0.4956690472,0.0492763008,0.0156291583,0.791375494,0.9634281093,0.211719088,0.2997968157,0.0710036776,0.4955712113,0.787514938,0.0915122294,0.5044178411,0.0480304781,321347.956430169,339722.855123839,5427187860.56571,200000,45877221.1293384,208107801.602395,4520965408.714,652037429.11997,294094.920000007,232,144.897,5,0,0,1,3,1,0,0,38219.0358665116,0.9479196773
"254",0.9269164215,0.9864437204,0.9763173736,0.9945737754,0.1142511301,0.5076934339,0.9672055558,0.992399577,0.3131182738,0.4846367075,0.3865294577,0.3815547947,0.4375365273,0.0185647761,0.0628940337,0.0009669842,308572.04212951,135787.573307117,5228595911.47975,120000,49912757.650833,1211472.84720004,4525314251.86174,652037429.11997,14571.4799999993,232,349.897,3,0,0,1,1,1,0,0,36369.5777946848,0.938155588
"255",0.8029701352,0.7795792758,0.9399925908,0.019994952,0.4469684188,0.0015515321,0.9293634477,0.9240955814,0.7347099006,0.8497991598,0.3281364588,0.2969312581,0.4488148358,0.1856493949,0.1225393786,0.0652829149,323397.108339323,290639.277786138,5267063202.34407,200000,43805997.6277454,38249590.7639993,4532770184.83235,652037429.11997,60217.0799999997,232,144.897,5,0,0,1,1,3,0,0,38907.8801154033,0.9478365366
"256",0.9699215654,0.4431452579,0.949434997,0.6450216608,0.0741270219,0.0006687596,0.9754229984,0.826463162,0.095661121,0.4709127751,0.2872715721,0.4512827429,0.7660025263,0.1489287159,0.1783848132,0.0006500459,316886.509673597,283618.19785643,5297740338.75419,200000,46618850.7803382,68688452.968798,4530195605.88508,652037429.11997,105734.999999998,232,144.897,5,0,0,3,1,1,0,0,38526.7546076998,0.9469093989
"257",0.947502654,0.7992329309,0.9292481989,0.6619787808,0.9856782038,2.62208209531878e-05,0.8814138279,0.9740987395,0.4634921911,0.4538330385,0.1094506887,0.8153771496,0.7060185049,0.042802969,0.1922335195,0.1497244587,316604.95307278,291830.166863231,5311522321.59205,120000,46718810.4447707,83464109.8872023,4529181972.1401,652037429.11997,126323.400000003,232,144.897,3,0,0,1,1,1,0,0,39343.7100812856,0.9469775613
"258",0.888944995,0.9445165007,0.9531642736,0.9972020647,0.7515738633,0.003698648,0.9811385144,0.9914334282,0.5266569477,0.791693286,0.8337018831,0.0012329641,0.984676416,0.6122318364,0.6164112044,0.3495725482,512963.777340494,427484.950233163,5487989393.91604,120000,24947942.2799038,306847476.7848,4504036545.73136,652037429.11997,438868.080000006,232,189.897,3,0,0,1,1,1,0,0,36320.3561488927,0.9033309979
"259",0.9826854457,0.9991881717,0.8966515578,0.0005638347,0.417817884,0.0005204778,0.7943411633,0.9242971974,0.4868180974,0.4100783854,0.1956162639,0.3628521788,0.2401899592,0.6987178242,0.1315874575,0.020763934,322941.195392307,316867.071536109,5343588564.78935,200000,44718741.2074895,119448541.581592,4527183852.8803,652037429.11997,160286.280000008,232,144.897,5,0,0,1,3,1,0,0,38867.918167907,0.9470269754
"260",0.9527629796,0.6937377508,0.9649006102,0.6209470861,0.4706379165,0.0055389129,0.8917135387,0.9187260429,0.4634921911,0.5871199289,0.227802613,0.9387971896,0.7560506735,0.2683719135,0.2002215918,0.0124052774,314024.007447788,301662.212903279,5339821377.08266,120000,46526690.7351864,113683571.887202,4527453685.3403,652037429.11997,162776.04,232,144.897,3,0,0,1,1,1,0,0,39424.8974752322,0.948431737
"262",0.9179786046,0.935267548,0.8355920146,0.9999803668,0.434530613,0.0041298498,0.9971689723,0.7871810854,0.1508602221,0.8426184861,0.0363170196,0.0061516082,0.4954065622,0.7085810582,0.0694880377,0.2445791772,427443.122084889,394430.88353971,5386328986.32122,240000,27007597.333551,193839627.197992,4513204332.66971,652037429.11997,270960.900000011,232,211.898,6,0,0,3,1,1,1,0,36981.108575495,0.9118009438
"266",0.9670681408,0.932102651,0.9259631771,0.9960220479,0.0902268432,0.4506054113,0.9930942076,0.8578710509,0.1264857485,0.7540155795,0.4811309408,0.3639282451,0.5134176858,0.0829673198,0.0631256313,0.0676879705,309176.386725531,140415.598615935,5236196927.95659,120000,49759251.8476324,9538594.86720006,4524741652.12179,652037429.11997,25323.1999999993,232,349.897,3,0,0,1,1,1,0,0,36369.4388595917,0.9381563956
"267",0.9993358581,0.9834788629,0.9759819316,0.9954606552,0.3830880962,0.0376487966,0.7135641557,0.9430480346,0.3354538346,0.7712535169,0.5663051678,0.0460895879,0.9540419877,0.0299431975,0.4651844146,0.0498111685,381176.618292742,397206.448562401,5407632650.0666,200000,33113417.7862322,204138567.477596,4518143235.6828,652037429.11997,288732.360000005,232,349.897,5,0,0,1,3,1,0,0,36322.110340538,0.9377850584
"271",0.8541169767,0.733313668,0.9811964075,0.9950513953,0.0021572624,0.0839017579,0.658175932,0.8202168338,0.0634848191,0.9664327802,0.8789795938,0.0701696112,0.6779280258,0.6472903184,0.5790285115,0.3248244012,418739.388165808,417488.570596224,5501040753.43647,200000,36002137.910806,302857751.775599,4509943434.6301,652037429.11997,432907.020000007,232,349.897,5,0,0,1,3,1,0,0,36496.7460108756,0.9455491307
"273",0.8290629817,0.9995212197,0.8664884037,0.999716924,0.7493647543,0.0107527916,0.8853899894,0.8484978416,0.1626738602,0.2479222525,0.4208385415,0.1085708243,0.9202572709,0.0035480608,0.7033451603,0.2233917301,371204.711916601,408698.715905392,5452489638.90204,240000,40157982.5380482,243376896.36119,4516677330.88283,652037429.11997,343996.52000002,232,211.898,6,0,0,1,1,3,1,0,36746.5462299483,0.9394901617
"274",0.7854244962,0.9793905715,0.9703231574,0.9907140361,0.0468713725,0.0014472734,0.9757564162,0.9368455203,0.6172623769,0.0312530526,0.7532512298,0.0023319287,0.0205935696,0.0106542189,0.2264125044,0.1781257111,367081.512790481,364463.895769982,5225309562.08463,200000,21713879.298022,52811482.7940031,4498546770.87264,652037429.11997,84641.2000000058,0,180.172,5,0,0,1,1,3,0,0,36361.6385112637,0.8171151123
"276",0.8690217522,0.9992335589,0.9944906958,0.9974648631,0.0084355944,0.0259073529,0.8892012541,0.7430960119,0.398553679,0.9391165576,0.2632115289,0.0209088065,0.8304129651,0.7139122856,0.3466524837,0.6921425282,535047.574442377,438850.716416737,5517722812.56577,200000,25164007.4195496,338189479.320011,4502131896.70624,652037429.11997,485716,232,189.897,5,0,0,3,1,1,0,0,36321.7102039963,0.907890514
"277",0.9219546576,0.7572696853,0.9659921628,0.9990639613,0.0597960742,0.5743903645,0.5135338204,0.9920699097,0.2037575004,0.9217069353,0.6114924668,0.4340177503,0.9903529197,0.0835010118,0.120608076,0.0065405071,305964.48503017,162138.248243283,5281891297.98334,200000,52107079.3056072,53803825.0007986,4523742964.55696,652037429.11997,85625.4000000001,232,349.897,5,2,0,1,1,1,0,0,36567.8275060558,0.9367809199
"278",0.9488718743,0.9953399863,0.8988899952,0.9560869388,0.1171165458,0.4182952032,0.7241869803,0.4724562515,0.154985651,0.437106691,0.0681859355,0.0127433281,0.0219403791,0.0226049624,0.0027275588,0.0773525218,320437.176420503,226568.329774265,5188629240.47485,280000,28210462.2222565,1211472.84720004,4506889876.28543,652037429.11997,14571.4799999993,0,349.897,7,0,0,3,3,1,0,0,36532.0564621073,0.8688828948
"279",0.6761495388,0.9305621888,0.9955110145,0.9996284252,0.0053417459,0.0075432802,0.8583286315,0.8027511859,0.4286398168,0.7070438888,0.744356993,0.0516286852,0.6924589138,0.0095907838,0.0957721584,0.5549190543,473852.326312118,432893.668055137,5516060475.05939,280000,32983395.1458433,322872297.207606,4507887353.58597,652037429.11997,464300.34,232,189.897,7,0,0,3,1,3,0,0,36262.0721119881,0.9221085312
"280",0.981758006,0.9332965517,0.9793816981,0.8904301316,0.0189743883,0.0029944147,0.9724204916,0.9244751605,0.5842343569,0.3580822414,0.8745383154,0.0344480494,0.6853742972,0.1348017218,0.9973821249,0.0770014235,422185.664632069,402297.532865242,5423532120.71811,120000,29384718.4618293,227705895.093592,4514284078.04272,652037429.11997,320572.560000015,232,189.897,3,0,0,1,1,1,0,0,37521.966037778,0.9200585038
"282",0.9331235838,0.9530731233,0.9783312726,0.9779132704,0.6594761355,0.0003279867,0.9645698707,0.8278243985,0.0154493124,0.9467329542,0.8298244658,0.0340920146,0.8664951445,0.743085737,0.2109202081,0.1123014229,366131.838051975,383427.438281037,5333392714.15288,200000,30039380.531232,130060845.129594,4521055059.37208,652037429.11997,175998.900000013,232,189.897,5,0,0,3,1,1,0,0,36288.037689529,0.917094943
"283",0.8363100497,0.7644881407,0.9750913073,0.9891722202,0.1184793474,0.7654813147,0.7105187282,0.9575130367,0.1534642944,0.8509989409,0.1515529202,0.8057862182,0.4631854468,0.0553110133,0.1275322919,0.0904060706,304755.687064,164960.318080297,5290602036.14509,200000,51713029.0813462,65914132.552798,4520737445.39097,652037429.11997,102960.619999998,232,349.897,5,0,0,1,3,1,0,0,36543.1598438278,0.9380725434
"284",0.835733249,0.8684025603,0.9809814577,0.9995359117,0.965447518,0.0159853672,0.8908344288,0.9128916325,0.744456212,0.5125710078,0.8552552565,0.0455190226,0.7836672495,0.415711315,0.9069896816,0.6638621941,489269.697143959,438928.946307104,5529069754.17278,200000,32270350.3264291,338189479.320011,4506372495.40637,652037429.11997,485716,232,189.897,5,0,0,1,1,3,0,0,36332.8781699585,0.9211997909
"285",0.9746543199,0.9989657469,0.8969114596,0.9560869388,0.0896255657,0.3948375423,0.9994522129,0.8997405116,0.1540099834,0.437106691,0.560975888,0.0127433281,0.0219403791,0.0226049624,0.0027275588,0.0773525218,317601.454443981,232938.320337042,5189736087.42252,120000,28224954.7406437,1211472.84720004,4508142230.7147,652037429.11997,14571.4799999993,0,349.897,3,0,0,1,1,1,0,0,36605.8868597238,0.8722866361
"286",0.9244261319,0.9892744987,0.9063336215,0.873082819,0.1338975972,0.409390686,0.9644353348,0.9003751722,0.1552059245,0.4064712005,0.0069620108,0.5782797139,0.2685000746,0.0371138079,0.1163011578,0.0349016649,305516.204858915,155859.174306316,5277759248.80459,120000,51380718.1087857,52067285.0711986,4522153816.50464,652037429.11997,83279.2800000001,232,349.897,3,0,0,1,1,1,0,0,36935.5432150885,0.9388026376
"288",0.756566748,0.880736108,0.9744730556,0.0098617999,0.2702764003,0.0118344292,0.9156109772,0.7919076711,0.2414839669,0.0033579934,0.4008435458,0.0096207295,0.0205935696,0.006730633,0.0001728696,0.1401008697,341629.703124461,329585.18921308,5172853191.76107,280000,18499087.6564818,1211472.84720004,4500825202.13742,652037429.11997,14571.4799999993,0,118.172,7,0,0,3,1,3,0,0,38492.7732651736,0.8267373633
"289",0.9129477769,0.7821858173,0.9933788464,0.9965573322,0.0663857556,0.0067797364,0.8655398524,0.9954733729,0.0953924756,0.8709138532,0.8049161536,0.0016428974,0.6787166523,0.6457944601,0.5102501423,0.3234736144,502404.067271458,420404.056466288,5474612030.97745,120000,24934635.9763199,292394047.637995,4505125918.24316,652037429.11997,417393.900000006,232,189.897,3,0,0,1,1,1,0,0,36314.6169496661,0.9032879162
"291",0.9989653572,0.9444314635,0.9131964051,0.3038742657,0.5475374136,0.2969388361,0.7569871821,0.8935832324,0.7298831391,0.9116304439,0.8666838841,0.0068573182,0.4919115221,0.047663511,0.042797994,0.0118087984,322062.871569102,247988.503384549,5205377803.42461,200000,27064898.1336522,1211472.84720004,4524864003.32378,652037429.11997,14571.4799999993,232,349.897,5,0,0,1,3,1,0,0,38837.5610836629,0.9345660635
"293",0.9730946718,0.8552370956,0.9651258959,0.9820626673,0.6001539552,0.040507462,0.8881284355,0.8042868478,0.421164165,0.4664988833,0.2716963997,0.0156512027,0.9967126066,0.0722415109,0.4616916225,0.5479428248,496605.845109308,428533.516943761,5502633778.9846,200000,26052597.4458943,318443232.500405,4505900519.91833,652037429.11997,458107.86,232,349.897,5,0,0,3,1,1,0,0,36285.5823751534,0.9274042654
"294",0.5708682614,0.7795792758,0.8768360393,0.019994952,0.6006245608,0.0012433868,0.9263267336,0.9240955814,0.6923135419,0.8497991598,0.3384043447,0.3159630058,0.4488148358,0.1321824786,0.1225393786,0.0652829149,322583.720583954,280384.041129914,5233203266.36442,120000,44152284.1966586,1535232.61920004,4535358320.42859,652037429.11997,14970.4799999993,232,144.897,3,0,0,1,1,1,0,0,37560.3813861395,0.9477677022
"298",0.9975151286,0.812964651,0.8889167369,0.8354598866,0.3277006921,0.6658491199,0.9390352575,0.9811880519,0.7615780984,0.8450199219,0.9964598166,0.3345498199,0.7569023767,0.1845066709,0.0352910708,0.0683991628,310306.936144932,170337.230641731,5280491047.53914,120000,49195488.2466835,57221913.4031976,4521916216.76929,652037429.11997,83598.4799999986,232,349.897,3,0,0,1,1,1,0,0,36973.8776746866,0.9382985038
"299",0.9420669215,0.8311619644,0.9793816981,0.996338933,0.2426716527,0.042657922,0.978253289,0.8649309723,0.6717078938,0.763426821,0.8623559366,0.0149934019,0.4902106093,0.0678019452,0.7419872515,0.3028143398,476086.169336888,421163.743200829,5482026292.4495,120000,26188498.6080064,295714410.247196,4507965954.47433,652037429.11997,422227.12000001,232,349.897,3,0,0,1,1,1,0,0,36321.4577925328,0.9283083672
"301",0.9774474136,0.9928792294,0.9725945558,0.892290399,0.2482237675,0.0244799579,0.8460951165,0.9530071413,0.1022233676,0.4602356089,0.145647896,0.0001752647,0.7441040866,0.1391857128,0.1387085156,0.2260610599,352882.014285934,365204.77717319,5262925179.99205,360000,24642295.8204744,63402923.1108026,4522482531.94081,652037429.11997,101524.220000007,232,189.897,9,0,0,1,7,1,0,0,37316.447463523,0.9107861308
"302",0.7952871423,0.8142660404,0.2885443553,0.0660462454,0.5414903507,0.000407388,0.9877105619,0.8670440678,0.3878337216,0.0072509213,0.0862966195,0.0208409218,0.00754966,0.1308320885,0.1201381125,0.0435644064,341242.839101647,311793.294132076,5173514129.09839,320000,18987927.9646182,1211472.84720004,4500957299.1666,652037429.11997,14571.4799999993,0,105.173,8,0,0,3,1,3,1,0,42091.9466982941,0.8301136297
"303",0.947502654,0.767549414,0.7395269776,0.5905355511,0.3941442151,0.0014780246,0.9749860519,0.8949060009,0.5312895867,0.8723500277,0.1094506887,0.7337216131,0.9069972972,0.181564283,0.2765872297,6.76670682652897e-05,313064.006669929,315684.196522735,5371160532.53464,160000,47734965.941199,145964479.836002,4525263657.63747,652037429.11997,210137.339999999,232,211.898,4,0,0,1,1,1,1,0,39510.1107614442,0.9498164279
"305",0.981758006,0.7918082818,0.9793816981,0.9312559463,0.0348599761,0.0029944147,0.6923066521,0.9691532741,0.8030012885,0.3107116156,0.7343986565,0.0080204215,0.9164208814,0.1348017218,0.9105149663,0.1678676598,455824.024889436,406363.311691903,5414731338.94124,200000,24225455.97361,227705895.093592,4510562558.75407,652037429.11997,320572.560000015,232,189.897,5,0,0,1,3,1,0,0,36128.4236333945,0.905119957
"306",0.9988747453,0.9621730164,0.9935299547,0.996238079,0.2296787521,0.0477682641,0.6910593467,0.9005661592,0.7856601875,0.6131228118,0.7817042423,0.0039477769,0.9209043376,0.0858149645,0.687834334,0.3214889709,478327.456842738,423241.776795098,5487688336.07376,200000,26342732.546714,301401955.108798,4507706219.29828,652037429.11997,430728.480000008,232,349.897,5,0,0,1,3,1,0,0,36432.1385242922,0.9305439214
"307",0.9920587009,0.7671584779,0.9155064251,0.642812971,0.4005095721,0.0234806757,0.8843767824,0.9175806512,0.1029128603,0.2985407661,0.0957028947,0.6195288784,0.8420877371,0.0539286041,0.0265923789,0.1831086473,315739.528524648,296221.888805967,5325813259.94113,120000,46256717.9820896,99019985.1311993,4528379127.70787,652037429.11997,151322.080000004,232,144.897,3,0,0,1,1,1,0,0,39347.8427950085,0.9501854357
"308",0.796542147,0.9997755915,0.9726325954,0.3070264647,0.3832246666,6.95527244511461e-05,0.5544578928,0.7876516293,0.5596414097,0.5171899338,0.2500046098,0.7934940461,0.2868341098,0.0147445458,0.1796328031,0.0153417332,318448.86164494,285932.742067344,5300056434.15171,280000,46500352.8762731,71417301.4296013,4529821350.72587,652037429.11997,109421.759999998,232,144.897,7,0,0,3,1,3,0,0,37529.7661516552,0.9471415165
"309",0.9807243692,0.76894841,0.9991957048,0.9626544476,0.763515781,0.0007829216,0.9853459325,0.9445701747,0.5227342442,0.4307424048,0.7144998238,0.0338093438,0.638366337,0.24369946,0.083484948,0.2277860387,355852.90278465,371181.44723789,5294419044.46595,120000,29884602.1797555,89054460.2639935,4523322552.90223,652037429.11997,134330.000000005,232,189.897,3,0,0,1,1,1,0,0,36447.9496836387,0.9174402872
"310",0.8287569154,0.9992612153,0.9331945695,0.8782281038,0.4670641854,0.0334923977,0.9552000499,0.6446943671,0.171323404,0.4173039324,0.7063242705,0.0121963276,0.7270316215,0.0543398812,0.0063829456,0.0110406872,339182.891443369,344032.028526182,5207246852.99425,280000,25164281.1727149,1211472.84720004,4528553669.85437,652037429.11997,14571.4799999993,232,349.897,7,0,0,3,1,3,0,0,37075.5350923732,0.9258841922
"311",0.8490481657,0.9197881558,0.9333851925,0.9683975248,0.1458944188,0.6565926612,0.8210998897,0.8709378179,0.3059633378,0.7726521609,0.0945873966,0.3868103957,0.7928802334,0.1095726399,0.0491609017,0.0014882746,308808.63883616,147585.538130583,5249461773.43077,200000,49874919.7281532,23421393.2064002,4523928031.37625,652037429.11997,41942.88,232,349.897,5,0,0,1,3,1,0,0,36416.5507666559,0.9383114367
"313",0.834987066,0.2867557235,0.9836598159,0.4968849403,0.2426716527,0.0110012727,0.7545507499,0.8853281864,0.8344981984,0.3161092792,0.7817042423,0.6048091139,0.5604412643,0.0362949616,0.8794587344,0.1208337713,325536.834891697,349193.487593639,5445722269.55835,360000,45943924.2672604,227705895.093592,4519675021.07753,652037429.11997,320572.560000015,232,144.897,9,0,2,1,3,3,0,0,37748.0120898007,0.9479633545
"314",0.8029701352,0.8358216444,0.8936275478,0.3144842659,0.2426885308,0.0010084878,0.9791452939,0.9999099125,0.710794422,0.869981895,0.8646784434,0.2969312581,0.4919115221,0.0722208683,0.1225393786,0.0652829149,323116.588095042,281586.839373023,5232408851.34194,200000,43801884.5464157,1211472.84720004,4535158064.82835,652037429.11997,14571.4799999993,232,144.897,5,0,0,1,1,3,0,0,38869.583747044,0.9478595422
"315",0.9732288456,0.6951685696,0.9732409629,0.9240510589,0.0848147302,0.0486636084,0.7511645182,0.7318696765,0.0704206602,0.8791108801,0.0798805149,0.0375051221,0.6846757488,0.902135918,0.1291388128,0.0912077685,336993.970370216,374624.039540186,5326086601.19243,280000,30311210.977305,119448541.581592,4524009419.51356,652037429.11997,160286.280000008,232,349.897,7,0,0,3,3,1,0,0,36301.6111234696,0.9405135568
"316",0.8578040641,0.8769519549,0.6196291342,0.9989493467,0.1386943118,0.5289947183,0.9943803816,0.9407365107,0.1004170064,0.9893873732,0.0094919493,0.385955305,0.7262079577,0.0375323771,0.146031681,0.024390062,308002.107065971,184347.620540309,5299332832.85233,120000,49951125.798755,77247114.0503994,4519977163.8832,652037429.11997,117298.019999998,232,349.897,3,0,0,1,1,1,0,0,36369.4410352004,0.9381554178
"317",0.9502232575,0.935267548,0.998445159,0.999998561,0.2314694064,0.0718710251,0.9164085658,0.832739802,0.5687935826,0.8204644917,0.2380462298,0.0037440037,0.8003769637,0.6560059243,0.4108388575,0.0219719679,414376.695644663,398783.634746752,5405071681.10694,200000,26806571.2855895,211283503.569595,4514744177.13178,652037429.11997,296257.500000008,232,349.897,5,0,0,3,1,1,0,0,36402.7564403207,0.9358637516
"318",0.9978944238,0.7822154454,0.9523989223,0.9827650729,0.8278030853,0.0196927317,0.8084693662,0.9531661592,0.6672380554,0.6629814861,0.6139120229,0.0225068967,0.876190248,0.002950202,0.5875003147,0.3952101132,520289.920652293,429703.054291839,5501152117.05784,200000,25234830.185475,320340269.382005,4503339588.37039,652037429.11997,459036.2,232,189.897,5,0,0,1,3,1,0,0,36351.936733848,0.9047492668
