"","X.TwoWayPipelines.NPI2.NPI2Threshold","X.TwoWayPipelines.NPI2.NPI2FlowThreshold","X.TwoWayPipelines.NPI.NPIThreshold","X.TwoWayPipelines.NPI.NPIFlowThreshold","X.TwoWayPipelines.BrisbanetoNthPineInterconnector.BrisbanetoNthPineThreshold","X.TwoWayPipelines.BrisbanetoNthPineInterconnector.BrisbanetoNthPineFlowThreshold","X.TwoWayPipelines.MaroochytoBaroonInterconnector.MaroochytoBaroonThreshold","X.TwoWayPipelines.EwenMaddocktoBaroonInterconnector.EwenMaddocktoBaroonThreshold","X.TwoWayPipelines.EPI.EPIThreshold","X.TwoWayPipelines.EPI.EPIFlowThreshold","X.TwoWayPipelines.SPI.SPIThreshold","X.TwoWayPipelines.SPI.SPIFlowThreshold","X.WCRWS.PRWThreshold","X.TugunDesalination.TugunDesalOneThirdThreshold","X.TugunDesalination.TugunDesalTwoThirdsThreshold","X.TugunDesalination.TugunDesalFullThreshold","X.SpillVolumes.TotalSpillVolume","X.MinimumSystemStorageNegation","X.Costs.TotalCost","X.Costs.SwitchingCost","X.Costs.PumpingCost","X.Costs.TugunDesalCost","X.Costs.TreatmentCost","X.Costs.PRWCost","X.TugunDesalination.TugunDesalProductionTotal","X.WCRWS.PRWInflow","X.TwoWayPipelines.TwoWayPipelineFlows","X.SwitchCounts.TotalSwitchCount","X.SwitchCounts.BrisbanetoNthPineSwitchCount","X.SwitchCounts.EPISwitchCount","X.SwitchCounts.EwentoBaroonSwitchCount","X.SwitchCounts.MaroochytoBaroonSwitchCount","X.SwitchCounts.NPI2SwitchCount","X.SwitchCounts.NPISwitchCount","X.SwitchCounts.SPISwitchCount","X.EnvironmentalFlows.EnvFlowDeficit","X.Reliability.TotalVolumetricReliability"
"15",0.8415513252,0.9219673166,0.909077835,0.997575546,0.42807738,0.0266444022,0.8087547412,0.8123891366,0.5907670945,0.9106585869,0.9156139327,0.0272710706,0.6834017998,0.9169003621,0.6665363938,0.2631459685,474586.433044875,417922.40543905,5459411804.63086,280000,27342240.2002025,270846527.92679,4508905607.3839,652037429.11997,385056.280000011,232,189.897,7,0,0,3,3,1,0,0,36331.3553151923,0.9140714701
"17",0.886821265,0.9999963105,0.8757298641,0.9456802076,0.2988253959,0.5180613032,0.9396451182,0.8583475255,0.2578301091,0.7981109081,0.6660599937,0.6285248945,0.5142385597,0.0763170791,0.1197878894,0.0326193399,303278.834083257,157292.055703914,5279279810.20489,200000,51664821.4109972,53679786.4343986,4521697773.23953,652037429.11997,85457.8200000001,232,349.897,5,0,0,3,1,1,0,0,36427.0763835254,0.9384221851
"18",0.8851374336,0.7416644196,0.903811917,0.9999983895,0.4876203985,0.0499203511,0.9376069316,0.9794692051,0.7196691024,0.5051082408,0.942960395,0.0033900994,0.5793473429,0.3988026216,0.9574887809,0.5541531376,500159.945636692,435214.159195531,5516354726.35837,120000,26386008.6439804,332380922.865609,4505430365.72881,652037429.11997,477033.76,232,349.897,3,0,0,1,1,1,0,0,36443.1543746262,0.9310355597
"19",0.8386196671,0.9654062351,0.9276868911,0.9221467888,0.913777259,0.0027929282,0.856786208,0.9985204212,0.1194600708,0.6202504734,0.6290911707,0.0454248602,0.9293225832,0.2219094058,0.9810774234,0.1962773305,410751.923571548,405856.277386491,5428169324.55543,200000,31927368.1234373,228855505.225192,4515149022.08683,652037429.11997,322290.920000016,232,189.897,5,0,0,1,1,3,0,0,36706.8152447758,0.923338446
"20",0.8495658566,0.5601482405,0.6982068139,0.92275914,0.3788424637,0.7999536242,0.7859727286,0.8404749301,0.45020732,0.8377334883,0.7946538669,0.634426422,0.2606192567,0.0468964737,0.1394629893,0.0552602847,304572.680475864,173502.484235954,5302799314.97632,200000,51583222.9794876,78983653.9799994,4519995008.89687,652037429.11997,119644.139999998,232,349.897,5,0,0,1,3,1,0,0,36428.1214280422,0.9380850237
"21",0.9969561106,0.9084340048,0.9369850994,0.987393724,0.6798191543,0.0020337962,0.9624311015,0.9522342722,0.3322081957,0.8902084773,0.8152969766,1.18711104553221e-05,0.9609413963,0.0710781288,0.7649731945,0.5486549254,529799.031766075,435341.679937203,5510464686.12722,120000,24906838.5696585,331170806.937609,4502229611.49998,652037429.11997,475224.96,232,189.897,3,0,0,1,1,1,0,0,36308.920118041,0.9036521965
"22",0.9988837328,0.8651273849,0.9545492034,0.9970993923,0.8400162926,0.0010703248,0.9863867557,0.8046265373,0.536844176,0.4414578165,0.2066964014,0.0311889122,0.9250878496,0.4453643954,0.7019082956,0.4542832696,507244.831536583,433328.397665949,5512085531.25172,200000,28938892.8382534,325785791.058007,4505123418.23549,652037429.11997,467175.8,232,189.897,5,0,0,3,1,1,0,0,36327.6246264461,0.9133421515
"23",0.8303071867,0.6545264756,0.8389100587,0.994791163,0.9520169043,0.0060607254,0.9899240457,0.9892776565,0.8076214953,0.8285624758,0.655559394,0.0054773228,0.4578873621,0.6049259663,0.9917458299,0.2523951248,480832.185635649,416852.114058619,5453375234.8896,240000,26960221.3465202,266127075.80759,4508010508.61552,652037429.11997,378001.960000009,232,205.898,6,0,0,1,1,3,1,0,36909.9008514919,0.9119346108
"24",0.9456765906,0.6899576907,0.9772372956,0.9985582679,0.8862543252,0.0034569299,0.8228841347,0.9184276381,0.0151084673,0.9712445325,0.7670026864,0.0200753416,0.5971188332,0.1234494684,0.0107064352,0.2218341208,358617.981149679,370971.100131121,5255151017.30781,200000,24931612.040771,56021148.5988028,4521960827.54827,652037429.11997,91203.4200000065,232,189.897,5,0,0,1,3,1,0,0,36338.2694867701,0.903180103
"25",0.9066103277,0.8833773859,0.9778972696,0.0379640586,0.9594171553,0.0002492698,0.9283080823,0.9596190579,0.4176721508,0.4338352943,0.9055695705,0.010361656,0.9417636044,0.2746998395,0.0868555719,0.0192044077,324914.569536871,346168.199567176,5268994646.79337,120000,23149567.8873269,71337839.4623979,4522349810.32368,652037429.11997,100994.879999998,232,144.897,3,0,0,1,1,1,0,0,39616.1621355706,0.9165146475
