NPI2 Threshold,NPI2 Flow Threshold,NPI Threshold,NPI Flow Threshold,Brisbane to Nth Pine Threshold,Brisbane to Nth Pine Flow Threshold,Maroochy to Baroon Threshold,Ewen Maddock to Baroon Threshold,EPI Threshold,EPI Flow Threshold,SPI Threshold,SPI Flow Threshold,PRW Threshold,Desalination 1/3 Production Threshold,Desalination 2/3 Production Threshold,Desalination Full Production Threshold,Total Spill Volume (GL),Minimum System Storage (GL),Total Cost ($ million),Switching Cost ($ million),Pumping Cost ($ million),Desalination Cost ($ million),Treatment Cost ($ million),PRW Cost ($ million),Desalination Total Production Volume (GL),PRW Inflow (GL),Two Way Pipeline Flow (GL),Total Switch Count,Brisbane to Nth Pine Switch Count,EPI Switch Count,Ewen to Baroon Switch Count,Maroochy to Baroon Switch Count,NPI2 Switch Count,NPI Switch Count,SPI Switch Count,Environmental Flow Deficit,Total Volumetric Reliability
0.8055467018,0.865507306,0.8555891675,0.9970949376,0.8891471525,0.0461856946,0.8914318898,0.9477397077,0.6275747112,0.55926249,0.7339962549,0.0104063138,0.9984691333,0.7872087303,0.3433159008,0.5516786864,496.556282754,432.190338004,5513.30319683,0.24,28.1659264117,326.449823297,4506.410018,652.03742912,468.25044,0.232,0.371898,6,0,0,1,1,3,1,0,35627.8326817,0.9386734114
0.9088787011,0.9012220025,0.9952389254,0.990190068,0.8384871718,0.4779902329,0.9677681011,0.9137987465,0.3480798207,0.8107762015,0.823204708,0.6333960112,0.6830200829,0.0029895201,0.0051762792,0.3142978394,302.878800151,261.032608813,5471.96848523,0.12,51.7481643977,261.603568758,4506.45932296,652.03742912,378.6377,0.232,0.349897,3,0,0,1,1,1,0,0,36411.596608,0.9382401289
0.6818646945,0.865507306,0.9509801635,0.9998578144,0.7405489754,0.0009822613,0.7851526495,0.866865375,0.7403557845,0.7477077996,0.971809621,0.0163176735,0.9891076106,0.7425864342,0.3667907721,0.0528177766,440.315462481,398.787520441,5391.36956416,0.28,24.9114391441,201.975505486,4512.16519041,652.03742912,282.47604,0.232,0.189897,7,0,0,1,3,3,0,0,36299.7036087,0.9025404983
0.9692977689,0.8613914488,0.9509801635,0.9998578144,0.7405489754,0.0397739078,0.7851526495,0.755280545,0.7464443005,0.7477077996,0.8943140455,0.0072964008,0.9891076106,0.8169127169,0.3667907721,0.050722786,415.988756659,398.318887137,5395.18935338,0.28,26.0970943777,201.975505486,4514.79932439,652.03742912,282.47604,0.232,0.349897,7,0,0,3,3,1,0,0,36372.8565935,0.9262356039
0.9041226012,0.9425654287,0.9934702893,0.9980902353,0.8264708085,0.000238833,0.8959301553,0.8626357824,0.1271538268,0.8920802077,0.8827861592,0.0032462655,0.5567498709,0.9298076725,0.3386585724,0.5050163781,522.099483601,430.936871282,5499.15888796,0.12,24.9552850782,319.022693976,4503.02347979,652.03742912,457.2008,0.232,0.189897,3,0,0,1,1,1,0,0,36323.53079,0.9032191751
0.8415513252,0.9715456251,0.8860514698,0.9997559451,0.4567600086,0.0025707038,0.8418459901,0.930093574,0.5606239937,0.9606174463,0.8805063668,0.008020124,0.5523299818,0.9640997546,0.6665363938,0.2346978896,467.909744683,415.970203717,5434.09011632,0.32,26.7667254159,245.676116624,4509.28984516,652.03742912,347.43324,0.232,0.211898,8,0,0,1,3,3,1,0,35603.8303384,0.9120033388
0.9557698185,0.6154915018,0.8620611562,0.9855529507,0.2674698562,6.16083086478e-05,0.9390947472,0.9549060019,0.7988872396,0.8461601634,0.74214374,0.0274927525,0.9997246315,0.1137865709,0.8572979513,0.3084073807,493.38690724,422.394433795,5486.57070267,0.16,29.3352291323,297.832113121,4507.20593129,652.03742912,425.39252,0.232,0.205898,4,0,0,1,1,1,1,0,36758.3806653,0.9185052512
0.9041226012,0.9424414082,0.997244285,0.9980902353,0.8173490157,0.0269470648,0.7991135584,0.7995922036,0.0794721077,0.9642766809,0.4110893915,0.0032462655,0.5567498709,0.938635265,0.3386585724,0.0179448445,432.767254528,396.711909035,5386.88835335,0.28,25.2420677938,195.987557674,4513.34129876,652.03742912,273.61026,0.232,0.189897,7,0,0,3,3,1,0,0,36323.9196536,0.9097327372
0.9304968441,0.714404191,0.7884304385,0.8939085638,0.56296048,0.0010553227,0.8941976697,0.9814073435,0.1646509726,0.5270430043,0.9754258773,0.0109929653,0.692987052,0.0862011296,0.0134156654,0.0002956896,347.996322515,347.226865674,5207.06861076,0.16,26.7100124007,1.2114728472,4526.94969639,652.03742912,14.57148,0.232,0.205898,4,0,0,1,1,1,1,0,38533.1782674,0.9135606724
0.8771963018,0.97269018,0.9243701012,0.0431042788,0.6858716293,0.0111012692,0.9711459183,0.8520603965,0.2751232763,0.7748535328,0.9013750508,0.7402041858,0.9038112951,0.0594965952,0.2516322353,0.2310854047,314.820954978,324.446419936,5408.65125986,0.28,46.5095897073,188.330476832,4521.4937642,652.03742912,275.17434,0.232,0.144897,7,0,0,3,1,3,0,0,39215.6099839,0.948368535
0.8753469405,0.9955459881,0.9971011859,0.9968895713,0.7743238369,0.4678920385,0.9123165022,0.9978089814,0.8634536463,0.9541134287,0.5113291346,0.7593159979,0.5366069265,0.0813378666,0.10446957,0.0670704745,304.090183212,147.61964446,5265.58370633,0.68,51.6445503826,38.6711199,4522.55060693,652.03742912,65.18064,0.232,0.349897,17,0,14,1,1,1,0,0,36369.5695814,0.9381841117
0.9002882972,0.9854013161,0.9605038859,0.9984326989,0.6225384195,0.4666127723,0.9111867204,0.9509295543,0.7320570031,0.9567986129,0.7023044662,0.9427284094,0.2641527772,0.4107402275,0.3698407991,0.2879562933,303.091265692,265.858459057,5480.35166358,0.12,51.7741906846,270.559696084,4505.86034769,652.03742912,389.15534,0.232,0.349897,3,0,0,1,1,1,0,0,36375.3308507,0.9379915922
0.8402200408,0.8656632425,0.9164395341,0.9998218197,0.7995417816,0.6814969058,0.9984237539,0.9990943961,0.5887895421,0.5791446815,0.5859164976,0.9923325104,0.9224480303,0.1401395288,0.2858736702,0.0194536006,302.74433728,226.223405352,5382.93326732,0.12,51.7735520736,165.190457628,4513.81182849,652.03742912,236.11224,0.232,0.349897,3,0,0,1,1,1,0,0,36369.4398484,0.9381868788
0.9964351936,0.7355705652,0.884408774,0.9987982907,0.6534223295,0.0006570514,0.9592703702,0.8435489977,0.617158013,0.5987370455,0.3786290727,0.0007318067,0.558055876,0.7062852788,0.2306276501,0.2309620216,409.499496918,392.533615805,5356.22343752,0.24,26.7431387673,161.49567693,4515.7071927,652.03742912,222.8415,0.232,0.211898,6,0,0,3,1,1,1,0,35646.7563452,0.9119750199
0.886821265,0.9999976674,0.8757298641,0.9985171296,0.2988253959,0.4830356772,0.9935623314,0.9181405571,0.1562590588,0.7981109081,0.6660599937,0.6751331184,0.4872917888,0.0763170791,0.230375135,0.0562278899,302.559308165,213.651598434,5358.26294526,0.12,51.7735520736,138.646204418,4515.68575965,652.03742912,200.25012,0.232,0.349897,3,0,0,1,1,1,0,0,36373.2126274,0.9381868834
0.7436505654,0.7158038124,0.844692188,0.5695034936,0.9307325059,0.0019528836,0.9899603462,0.9726315905,0.329881333,0.80900083,0.7629573777,0.3814682258,0.1886396277,0.2375721068,0.10864665,0.0046425121,319.710816149,293.793338417,5298.66845508,0.2,45.2586806645,70.949327736,4530.22301755,652.03742912,100.51608,0.232,0.144897,5,0,0,1,1,3,0,0,38689.4457044,0.9456670882
0.9608653446,0.6402461382,0.9211895185,0.9990795256,0.746598441,1.50712046559e-05,0.8705589701,0.9339749719,0.2579509605,0.9979422934,0.9462190304,0.0157927646,0.83357635,0.8613217923,0.2090015758,0.0113157062,391.543970683,384.957864973,5323.24082204,0.12,24.929862629,128.400819994,4517.75271029,652.03742912,173.54106,0.232,0.189897,3,0,0,1,1,1,0,0,36368.7948439,0.9031253558
0.9894893642,0.5567250667,0.9060264429,0.9879737609,0.6459519416,0.0462413241,0.9966379691,0.9585516583,0.4321004124,0.7060257675,0.9811965519,0.0099072368,0.63591128,0.5301090955,0.0317344623,0.2309620216,375.709590894,386.760986375,5359.0765555,0.12,26.2541302384,162.382884712,4518.28211143,652.03742912,226.44314,0.232,0.349897,3,0,0,1,1,1,0,0,36367.275592,0.930102104
0.9511414214,0.9168509357,0.9918295311,0.9901884119,0.977806913,0.0382109993,0.9398922809,0.9728566519,0.5633949555,0.9162136907,0.5608112146,0.0003206091,0.6612636488,0.0885770835,0.003906411,0.1701271164,335.700227836,354.684505539,5210.39090492,0.12,26.025143531,3.6105495636,4528.59778271,652.03742912,17.92574,0.232,0.349897,3,0,0,1,1,1,0,0,36365.0118155,0.9260903757
0.9737018662,0.8342885963,0.9323273919,0.9039666722,0.06587456,0.0247763218,0.8395336941,0.9148160674,0.011406009,0.8954379611,0.9252131988,0.018960893,0.6359933774,0.1405024789,0.1360119384,0.1432393347,350.714877398,348.688776879,5205.13840668,0.2,24.751371839,1.2114728472,4526.93813287,652.03742912,14.57148,0.232,0.189897,5,0,0,1,3,1,0,0,37063.3397122,0.9102314262
0.9827399053,0.9130566346,0.7570933149,0.9054948157,0.1002622981,0.3770566634,0.9950674956,0.8564257285,0.4016489134,0.5412560831,0.8701517744,0.4338362768,0.9685778174,0.0258630589,0.1278249322,0.0792652507,306.608284488,163.115435285,5282.9702901,0.76,51.4176637701,56.1847398756,4522.57045733,652.03742912,89.05946,0.232,0.349897,19,0,0,17,1,1,0,0,37144.3979944,0.9412334235
0.918509967,0.7112592055,0.9946605375,0.9983671308,0.4447009235,0.0012659202,0.6214220127,0.8901945555,0.6321858558,0.9823116341,0.6014337021,0.0084774296,0.4652018066,0.1490896853,0.9183987136,0.0492715323,459.831762358,410.323868545,5414.91579417,0.12,24.9275287005,227.705895094,4510.12494126,652.03742912,320.57256,0.232,0.189897,3,0,0,1,1,1,0,0,36442.7145571,0.902964083
0.9511414214,0.9787801191,0.929371523,0.9956765817,0.988970714,0.031121574,0.9395329058,0.9629988858,0.592433561,0.9948478961,0.6049977439,0.0003206091,0.8858284511,0.0672904608,0.1091212956,0.2376199902,363.531063891,374.142554002,5294.68811947,0.12,25.6474127962,95.8827309636,4521.00054659,652.03742912,146.93574,0.232,0.349897,3,0,0,1,1,1,0,0,36360.9653324,0.9182654741
0.9632440193,0.974263875,0.9211895185,0.9831724663,0.404557517,3.43707343044e-05,0.9444134426,0.9718692334,0.2282982961,0.7317323258,0.7435038513,0.025425188,0.8410826467,0.1129933577,0.2064893333,0.2432914606,369.798816675,375.175003569,5292.51075952,0.12,26.0481754196,94.2218316984,4520.08332328,652.03742912,144.61356,0.232,0.189897,3,0,0,1,1,1,0,0,36332.2497881,0.9070335659
0.8453989983,0.9171585295,0.8898733257,0.9850953347,0.6840410582,0.0691514079,0.9006254546,0.9999638557,0.0838087975,0.7660914481,0.9125855079,0.1781467859,0.5423303755,0.872567177,0.1937278886,0.5680347545,372.18307387,415.32732792,5537.53750715,0.36,43.6921157813,332.439443717,4509.00851854,652.03742912,477.16144,0.232,0.349897,9,0,0,1,1,7,0,0,36395.3847654,0.9458154788
0.8236808801,0.865507306,0.8489184379,0.9970949376,0.9663410131,0.0002246369,0.9468554388,0.9383074471,0.643576735,0.5858324374,0.7548307983,0.0190961025,0.9984691333,0.7845775569,0.3433159008,0.0979836559,433.263408135,397.144508951,5389.25548061,0.24,26.9924901506,196.75828363,4513.22727771,652.03742912,274.7514,0.232,0.211898,6,0,0,1,1,3,1,0,36880.0109466,0.9119040691
0.9785907739,0.9816774906,0.6657852238,0.1579291797,0.2721311301,0.0185168455,0.7553603861,0.9894600719,0.2492537747,0.8827569488,0.7502767746,0.3353870553,0.8083241931,0.0348004016,0.0017396488,0.0102758985,320.827954597,279.493597652,5232.8560434,0.24,44.3475726499,1.2114728472,4535.01956879,652.03742912,14.57148,0.232,0.131898,6,0,0,1,3,1,1,0,38461.2285195,0.9497286379
0.8646003228,0.9158190801,0.9800385321,0.9986347901,0.2738508614,0.0528493487,0.9042110712,0.8223721004,0.2578518306,0.6117013351,0.4034362241,0.0644783651,0.4541597191,0.0386726552,0.811645448,0.3405565661,419.573998455,422.77534149,5503.95900448,0.2,35.4828102174,305.395337671,4510.84342748,652.03742912,436.69752,0.232,0.349897,5,0,0,3,1,1,0,0,36372.9444744,0.9441599365
0.9463697075,0.9606561374,0.9386642992,0.9980902353,0.8268966593,0.000238833,0.9077194977,0.8626357824,0.1847110285,0.8920802077,0.9216772145,0.0172261325,0.9716653012,0.9563954479,0.3386585724,0.4835491788,520.57801305,429.73640795,5497.15495459,0.12,24.9540565554,316.866430625,4503.17703829,652.03742912,453.99284,0.232,0.189897,3,0,0,1,1,1,0,0,36324.050257,0.9032493116
0.9018328127,0.8241391169,0.902186441,0.999939726,0.7814305505,5.37966310214e-05,0.8960928455,0.6944615436,0.5521414998,0.9819185014,0.6455033817,0.0784952161,0.5749742733,0.3062100611,0.0123510615,0.672153402,462.40471564,437.56432865,5533.67469715,0.2,35.7196023334,338.18947932,4507.52818637,652.03742912,485.716,0.232,0.189897,5,0,0,3,1,1,0,0,36320.0174384,0.9266273061
0.8672302644,0.5728283798,0.9239176862,0.3258021641,0.6435588941,0.0244526788,0.9838543069,0.8639476544,0.6005975316,0.9511702283,0.2556351285,0.8135180703,0.7670308842,0.1223488871,0.2816238099,0.1530371902,314.329669602,318.42718354,5375.02043468,0.28,46.6466373008,150.938096711,4525.11827155,652.03742912,217.14378,0.232,0.144897,7,0,0,3,1,3,0,0,39041.0293727,0.9518800045
0.9304968441,0.7102283294,0.8029454055,0.8939085638,0.5656237111,0.0010626323,0.8973069408,0.9802369639,0.1291168454,0.277316918,0.9669144672,0.0093286989,0.0091699682,0.0862011296,0.0134156654,0.0002956896,349.878023989,338.757719483,5183.66856484,0.16,26.1501840324,1.2114728472,4504.10947884,652.03742912,14.57148,0.0,0.196173,4,0,0,1,1,1,1,0,38425.9357166,0.8278946688
0.880954744,0.7838863089,0.924298699,0.9998105388,0.7828192971,0.3388672381,0.9708045527,0.8689916652,0.7745754227,0.990553058,0.8020566355,0.4515726748,0.9673986226,0.0294912928,0.1102490974,0.073860918,308.27939386,153.286554528,5266.05422451,0.12,51.6299948881,38.3352942084,4523.93150629,652.03742912,64.87474,0.232,0.349897,3,0,0,1,1,1,0,0,36466.13869,0.9415483888
0.9838347813,0.9925094557,0.887691463,0.9686262126,0.4255251663,0.5951918901,0.9069118678,0.9882429578,0.0168223839,0.7444912705,0.4348116954,0.5847394738,0.9635141087,0.313474482,0.0184822892,0.2826630808,302.874368267,254.334131035,5454.00317663,0.12,51.6930312224,242.132446643,4508.02026965,652.03742912,349.68626,0.232,0.349897,3,0,0,1,1,1,0,0,36424.9506754,0.938382314
0.8641750606,0.6817580171,0.8859708786,0.999946961,0.6675889531,0.34519541,0.9917050461,0.9592884873,0.7282385709,0.9567986129,0.8020566355,0.623060349,0.4516369985,0.1289117319,0.3252278089,0.2805200455,308.432411018,277.163164527,5462.38109749,0.12,51.6277976501,250.022779532,4508.57309119,652.03742912,361.11362,0.232,0.349897,3,0,0,1,1,1,0,0,36391.0263845,0.941446726
0.9460332348,0.5162984759,0.902453019,0.9998381434,0.6325734144,0.0436622583,0.8705589701,0.9396756614,0.2341370739,0.750059746,0.7870727984,0.0420974468,0.8961798595,0.8613217923,0.2042255999,0.0101117395,333.230847011,382.554466678,5338.285767,0.12,32.3533221093,129.882985294,4523.89203048,652.03742912,175.73556,0.232,0.349897,3,0,0,1,1,1,0,0,36395.9330197,0.9403903723
0.8522171819,0.8329059568,0.9404503086,0.9908148042,0.8777392056,0.0032868046,0.8618168988,0.7178448845,0.3839245629,0.8102943546,0.9729902956,0.0868188851,0.7747463707,0.0849840676,0.9211699987,0.2076721866,384.85074919,408.203183705,5438.46196519,0.2,36.433483807,233.937992123,4515.85306014,652.03742912,329.88788,0.232,0.189897,5,0,0,3,1,1,0,0,36271.0590728,0.9279778847
0.8553006949,0.5073233836,0.9269650727,0.9878412987,0.8371381065,0.0371701384,0.9515719058,0.8973326506,0.7083602597,0.8620886983,0.5402753992,0.0676976738,0.5620828785,0.9148801986,0.759200254,0.0916729175,380.687624664,407.394583493,5432.71269675,0.12,35.2975175764,227.705895094,4517.55185496,652.03742912,320.57256,0.232,0.349897,3,0,0,1,1,1,0,0,36286.0889754,0.9395788011
0.8869387925,0.8738511583,0.9898751639,0.9986158311,0.7601998304,0.0001064906,0.9952238064,0.8278279695,0.0882348669,0.5878474036,0.5600482297,0.0454248602,0.6012478482,0.7774453563,0.3151785628,0.1018666993,387.989915031,394.267383033,5393.45223589,0.2,32.2556566117,191.481775162,4517.477375,652.03742912,266.93898,0.232,0.189897,5,0,0,3,1,1,0,0,36337.7418533,0.9211923717
0.8427304347,0.974227115,0.8898733257,0.9825651501,0.1042994288,0.0691514079,0.8997258638,0.9999638557,0.0802307233,0.7738634018,0.9125855079,0.172316926,0.4835070354,0.872567177,0.1360518223,0.5969429253,378.234260519,417.257873398,5542.45347252,0.2,43.4701970412,338.18947932,4508.55636704,652.03742912,485.716,0.232,0.349897,5,0,0,1,1,3,0,0,36394.8590736,0.9458126344
0.8792650026,0.8640157171,0.9845933994,0.9909664319,0.7928512015,0.0597743525,0.9919442122,0.8553757931,0.0105893274,0.5178739462,0.0118157589,0.1945657469,0.8005527653,0.0710345524,0.2549172483,0.4739026682,340.182269844,399.880232434,5513.110553,0.36,45.0642064815,304.233316565,4511.41560084,652.03742912,438.24032,0.232,0.349897,9,0,0,7,1,1,0,0,36370.310066,0.9460108014
0.8447239747,0.9776775932,0.9908607398,0.998583921,0.5034260752,0.0038795934,0.7349131435,0.9404279746,0.5818814448,0.977871773,0.6014337021,0.0084774296,0.8786467753,0.0676080114,0.0401946479,0.244780196,375.178753431,376.289213074,5292.79776928,0.2,24.9445745264,96.6209084148,4518.99485722,652.03742912,147.96782,0.232,0.189897,5,0,0,1,3,1,0,0,36306.3920975,0.9032588616
