,Minimum System Storage (GL),Total Cost ($ million),Total Spill Volume (GL)
0,0.78430444714306224,0.093005839471882512,0.12268971338505515
1,0.28429134851787591,0.36987249349900658,0.34583615798311745
2,0.27551002955559994,0.26555631821059766,0.4589336522338025
3,0.61347746232620792,0.059122530301881165,0.32740000737191083
4,0.054519886513730076,0.39760614085827323,0.54787397262799664
5,0.52600060574153795,0.19604973151603217,0.27794966274242999
6,0.26745842793697694,0.13955218182529622,0.5929893902377269
7,0.14717006355162926,0.29507928517199039,0.55775065127638024
8,0.38215295167724284,0.28746082153233787,0.33038622679041924
9,0.20279480525637861,0.37451679969977597,0.42268839504384537
