,Minimum System Storage (GL),Total Cost ($ million),Total Spill Volume (GL)
0,0.79304584608472695,0.031946363962899925,0.17500778995237326
1,0.23968354152246632,0.38304803811958404,0.37726842035794955
2,0.74626073178210928,0.14319460221758826,0.11054466600030241
3,0.29640510253828217,0.23325051649305267,0.47034438096866504
4,0.66873180092965634,0.11359410487666367,0.21767409419367995
5,0.62028957826068987,0.0094047526406876199,0.37030566909862261
6,0.0042580829660676927,0.4432457584954555,0.55249615853847678
7,0.5262811321738553,0.19389309166738772,0.27982577615875703
8,0.22907641632145434,0.19097826645433078,0.57994531722421494
9,0.29616071639930996,0.39045970243359046,0.31337958116709952
10,0.65555480406507016,0.16111333384572371,0.18333186208920615
11,0.051507879003325846,0.39418333889432183,0.55430878210235224
12,0.81294801916469095,0.06326105045358231,0.12379093038172664
13,0.51285206704611397,0.17947310680461998,0.30767482614926606
14,0.081195962894422352,0.36257593943317129,0.55622809767240633
15,0.8955630246856251,0.083929651778061373,0.020507323536313543
16,0.82506617585765873,0.074192177316453056,0.10074164682588825
17,0.65973730184446711,0.17420653939463479,0.16605615876089808
18,0.33708735354385722,0.33457093520856906,0.32834171124757372
19,0.2989427547735985,0.31473420276665137,0.38632304245975002
20,0.79579361534824478,0.069179648068243324,0.1350267365835118
21,0.26297181334562747,0.12043607506811277,0.61659211158625982
22,0.515118988186406,0.24319087450872259,0.24169013730487138
23,0.4873581751548039,0.22475784527690867,0.28788397956828743
24,0.84500609655468972,0.10656346544199374,0.048430438003316603
25,0.61229637319207308,0.1962690163105307,0.1914346104973963
26,0.73795681266404833,0.12200336557636929,0.14003982175958227
27,0.49996901063427879,0.24479805618139455,0.25523293318432666
28,0.29175867197210487,0.37424170511304561,0.33399962291484947
29,0.32441595154472486,0.18750700666095613,0.48807704179431899
30,0.034193035418758913,0.41404067142906459,0.55176629315217651
31,0.27385750524873514,0.10714609755391463,0.61899639719735022
32,0.17990788320001319,0.24773914564248115,0.57235297115750572
33,0.44836726686467154,0.26622664301051074,0.28540609012481777
34,0.15445557188776426,0.28120494165285287,0.56433948645938281
35,0.25118337418132219,0.31080102274769406,0.43801560307098364
36,0.40533074355848892,0.29104762064830242,0.30362163579320861
37,0.41257726393481048,0.24666737207268799,0.34075536399250161
38,0.29342294632331262,0.36039206231889764,0.34618499135778968
39,0.29393397763043866,0.3766677815895042,0.32939824078005725
40,0.062098357656862252,0.3898935526381595,0.54800808970497827
41,0.57447423812107123,0.22027492725484721,0.20525083462408164
42,0.35960350618162651,0.3042725916497469,0.33612390216862664
43,0.3640732348719069,0.3094327048523467,0.32649406027574646
44,0.5611522204302285,0.012296986395451147,0.42655079317432026
45,0.50283399379794524,0.24212700224591638,0.25503900395613832
46,0.21667449983339535,0.37185984310462944,0.41146565706197519
47,0.60924469604460607,0.070713782991643631,0.32004152096375027
48,0.83581478974678658,0.11043931969720751,0.053745890556005878
49,0.7432927321643491,0.022827410706367221,0.23387985712928375
50,0.30313432919324235,0.22530648188913951,0.47155918891761811
51,0.27734351119687017,0.39569554665127094,0.32696094215185895
52,0.044330944705660937,0.41358920891883644,0.54207984637550255
53,0.24567877265382085,0.14761086312646643,0.60671036421971258
54,0.28553548382331762,0.13186676710423254,0.58259774907244977
55,0.36508169913600591,0.24668205562574227,0.38823624523825195
56,0.49131963872508272,0.15548909365283287,0.35319126762208453
57,0.48182803337838692,0.16117139776655562,0.35700056885505749
58,0.45159597249604333,0.21388949642378205,0.33451453108017459
59,0.57648992694146783,0.0044025816090104298,0.41910749144952181
60,0.48564435989782578,0.047529588095080205,0.46682605200709393
61,0.36916429084527358,0.311994185182011,0.31884152397271537
62,0.21750048640294867,0.38649351321681658,0.39600600038023476
63,0.14287122329299795,0.40899632633540844,0.44813245037159355
64,0.0,0.46132778188591644,0.5386722181140835
65,0.24150093978842685,0.30837876995305147,0.45012029025852168
66,0.41182617145674894,0.21984519505353931,0.36832863348971173
67,0.30583163846150696,0.32384334558984801,0.37032501594864509
68,0.21812659700285175,0.34558961239592145,0.4362837906012268
69,0.16959332130226157,0.27252793937914793,0.55787873931859044
70,0.05451988651373009,0.39760614085827334,0.54787397262799664
71,0.70861299436007974,0.034050935555572877,0.25733607008434739
72,0.14480523253437169,0.29329276676626304,0.56190200069936524
73,0.18705379710024372,0.25519468763534353,0.5577515152644128
74,0.2614247623864458,0.38276309772699407,0.35581213988656002
75,0.20500484062108279,0.22959715330922023,0.56539800606969692
76,0.22933068540586538,0.34880005379740503,0.42186926079672959
77,0.80856749567953512,0.12402346753481443,0.067409036785650453
78,0.45045362935645339,0.16500951944796888,0.38453685119557779
79,0.38700970175491983,0.28864284909160243,0.3243474491534778
80,0.43326798787108017,0.13701384497422517,0.42971816715469457
81,0.26622658326361492,0.37385603220403174,0.35991738453235328
82,0.46493705563817195,0.15204004939513077,0.38302289496669734
83,0.45604851703001781,0.16067771955502208,0.38327376341496017
84,0.30835587862811847,0.32203525946807454,0.36960886190380698
85,0.86883820375179643,0.04721771495387974,0.083944081294323902
86,0.15905285883115955,0.26631577405759477,0.57463136711124563
87,0.54322429386757121,0.20497549391039283,0.25180021222203591
88,0.29118477414359173,0.086908566010813273,0.62190665984559501
89,0.29274025532684295,0.34782028916285923,0.35943945551029771
90,0.61316097960203397,0.0091202506763477919,0.37771876972161816
91,0.24721053447953478,0.32170229555004742,0.43108716997041774
92,0.1337693666343921,0.31947971640020267,0.54675091696540512
93,0.39431074159267843,0.14181607951149205,0.46387317889582963
94,0.22584904865124508,0.19456067842980493,0.57959027291894993
95,0.10058147675992166,0.34177539544145613,0.55764312779862224
96,0.027974017789730618,0.44388850140961206,0.52813748080065737
97,0.26843288062767223,0.39504380747113055,0.33652331190119716
98,0.17890282628270787,0.26299282892106385,0.55810434479622828
99,0.13830993085171514,0.41347510921327607,0.44821495993500876
100,0.48641596361194289,0.16791128050159751,0.34567275588645968
101,0.013130116255893335,0.44007814242642634,0.54679174131768038
102,0.69234941553717788,0.057389288431117992,0.25026129603170399
103,0.37589863058561035,0.23672805121905491,0.38737331819533488
104,0.90428065050737472,0.058841739311553377,0.036877610181071885
105,0.01194965775554026,0.46008286210529903,0.52796748013916073
106,0.12775610246547539,0.31075833064128155,0.56148556689324314
107,0.26430919483063159,0.29416943899472625,0.44152136617464205
108,0.21864780268531531,0.20262083709377593,0.57873136022090876
109,0.27200698432250808,0.37552714844724516,0.3524658672302467
110,0.34255483973038864,0.19634294973205987,0.4611022105375514
111,0.56665374046656158,0.028071702023915443,0.40527455750952285
112,0.35575880868288279,0.25479207573929169,0.38944911557782547
113,0.651373190757637,0.014798790671724356,0.33382801857063865
114,0.76570199496492319,0.084335723349027794,0.149962281686049
115,0.5366233677812422,0.23194318435737932,0.23143344786137848
116,0.66006685442855406,0.071597409526797703,0.26833573604464828
117,0.26078601582306027,0.12785165701006876,0.611362327166871
118,0.08552336690314899,0.35875982544930146,0.5557168076475496
119,0.34019407700354715,0.26187106006192257,0.39793486293453029
120,0.13089117356123259,0.32241272927222292,0.54669609716654455
121,0.07067870721648338,0.40068412899085226,0.52863716379266434
122,0.59644683935367571,0.13648628627644396,0.2670668743698803
123,0.28067997819725926,0.35097722851633101,0.36834279328640973
124,0.29822076454529778,0.33301066946424279,0.36876856599045937
125,0.25906792503042242,0.14768291907537151,0.59324915589420602
126,0.010190359400968317,0.4512134562994532,0.53859618429957845
127,0.24715706859976827,0.30267824953931249,0.45016468186091924
128,0.025905549522687976,0.42930335039501727,0.54479110008229481
129,0.26915525213692687,0.295823432251132,0.43502131561194107
130,0.093199649444413335,0.3530069932364675,0.55379335731911927
131,0.57507979612251514,0.21192429670375917,0.21299590717372571
132,0.12243124629953259,0.33516511475061622,0.54240363894985122
133,0.33391587699699204,0.18713002052557903,0.47895410247742892
134,0.25080830073227595,0.16806851830972294,0.58112318095800108
135,0.3196703061718334,0.081542878450029485,0.59878681537813716
136,0.86901319091039164,0.095684341255674127,0.035302467833934245
137,0.79246740529743787,0.051007770503147212,0.1565248241994148
138,0.20279480525637861,0.37451679969977597,0.42268839504384537
139,0.59517583348651237,0.068116441528629543,0.33670772498485807
140,0.26254425207388632,0.40906852844241426,0.32838721948369937
141,0.78703635475122857,0.030767312494769265,0.18219633275400213
142,0.24578953954330165,0.14030920014929052,0.61390126030740777
143,0.082223600491927742,0.36135987416316229,0.55641652534491004
144,0.7353177022137104,0.047920634209519544,0.21676166357677007
145,0.027959647510159415,0.43956975481201893,0.53247059767782168
146,0.25184453241894983,0.3971532996986652,0.35100216788238497
147,0.44823872118605124,0.2097701641424411,0.34199111467150772
148,0.47314695041425253,0.20264878561597849,0.32420426396976892
149,0.043039563557874805,0.42289899556673577,0.53406144087538943
150,0.21671968608028669,0.34865851442067408,0.43462179949903923
151,0.81565878030841144,0.11168174229656662,0.072659477395021863
152,0.62252138177939176,0.094253321942907364,0.28322529627770088
153,0.16268406297531465,0.41780534471890296,0.41951059230578241
